"species","region","minimum.age","maximum.age","family","Site"
"Palaeoloxodon antiquus","Eurasia","0.397","0.662","Elephantidae",642
"Palaeoloxodon creutzburgi","Eurasia","0.012","0.126","Elephantidae",643
"Palaeoloxodon cypriotes","Eurasia","0.126","0.781","Elephantidae",644
"Palaeoloxodon falconeri","Eurasia","0.781","1.8","Elephantidae",645
"Palaeoloxodon falconeri","Eurasia","0.781","1.8","Elephantidae",646
"Palaeoloxodon falconeri","Eurasia","0.781","1.8","Elephantidae",647
"Palaeoloxodon falconeri","Eurasia","0.781","1.8","Elephantidae",647
"Palaeoloxodon jolensis","Africa","0.196","0.205","Elephantidae",648
"Palaeoloxodon jolensis","Africa","0.104","0.196","Elephantidae",649
"Palaeoloxodon jolensis","Africa","0.126","0.774","Elephantidae",401
"Palaeoloxodon lomolinoi","Eurasia","0.012","0.126","Elephantidae",650
"Palaeoloxodon mnaidriensis","Eurasia","0.13","0.43","Elephantidae",651
"Palaeoloxodon mnaidriensis","Eurasia","0.13","0.43","Elephantidae",652
"Palaeoloxodon namadicus","Eurasia","0.6","1.3","Elephantidae",653
"Palaeoloxodon namadicus","Eurasia","0.012","0.7","Elephantidae",654
"Palaeoloxodon namadicus","Eurasia","1.2","1.8","Elephantidae",655
"Palaeoloxodon namadicus","Eurasia","0.6","1.3","Elephantidae",656
"Palaeoloxodon namadicus","Eurasia","0.6","1.3","Elephantidae",657
"Palaeoloxodon namadicus","Eurasia","0.35","0.6","Elephantidae",658
"Palaeoloxodon naumanni","Eurasia","0.012","0.7","Elephantidae",659
"Palaeoloxodon naumanni","Eurasia","0.0117","0.126","Elephantidae",660
"Palaeoloxodon naumanni","Eurasia","0.0117","0.126","Elephantidae",661
"Palaeoloxodon naumanni","Eurasia","0.0117","0.126","Elephantidae",662
"Palaeoloxodon recki","Africa","1.53","1.88","Elephantidae",663
"Palaeoloxodon recki","Africa","1.62","1.88","Elephantidae",664
"Palaeoloxodon recki","Africa","1.53","1.87","Elephantidae",71
"Palaeoloxodon recki","Africa","1.53","1.87","Elephantidae",71
"Palaeoloxodon recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon recki","Africa","1.53","1.86","Elephantidae",72
"Palaeoloxodon recki","Africa","0.8","1.8","Elephantidae",665
"Palaeoloxodon recki","Africa","0.8","1.8","Elephantidae",666
"Palaeoloxodon recki","Africa","1.53","1.76","Elephantidae",667
"Palaeoloxodon recki","Africa","1.38","1.53","Elephantidae",668
"Palaeoloxodon recki","Africa","1.38","1.53","Elephantidae",669
"Palaeoloxodon recki","Africa","1.38","1.53","Elephantidae",670
"Palaeoloxodon recki","Africa","0.74","1.33","Elephantidae",671
"Palaeoloxodon recki","Africa","0.95","1.15","Elephantidae",672
"Palaeoloxodon recki","Africa","0.8","1.042","Elephantidae",673
"Palaeoloxodon recki","Africa","0.78","1","Elephantidae",674
"Palaeoloxodon recki","Africa","0.78","0.95","Elephantidae",675
"Palaeoloxodon recki","Africa","0.8","1.55","Elephantidae",676
